partida_id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,ano,mes,dia_semana,tipo_resultado,diferenca_gols,total_gols,foi_equilibrado,foi_goleada,categoria_gols,mandante_chutes,mandante_chutes_no_alvo,mandante_posse_de_bola,mandante_passes,mandante_precisao_passes,mandante_faltas,mandante_cartao_amarelo,mandante_cartao_vermelho,mandante_impedimentos,mandante_escanteios,visitante_chutes,visitante_chutes_no_alvo,visitante_posse_de_bola,visitante_passes,visitante_precisao_passes,visitante_faltas,visitante_cartao_amarelo,visitante_cartao_vermelho,visitante_impedimentos,visitante_escanteios,gols_contra,total_gols_registrados,gols_penalty,total_cartoes_amarelos,total_cartoes,total_cartoes_vermelhos
1,1,2003-03-29,16:00,Guarani,Vasco,,,,,Guarani, Brinco de Ouro,4,2,SP,RJ,2003,3,Saturday,Vitória Mandante,2,6,False,False,Jogo de gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
2,1,2003-03-29,16:00,Athletico-PR,Gremio,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,2003,3,Saturday,Vitória Mandante,2,2,False,False,Poucos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
3,1,2003-03-30,16:00,Flamengo,Coritiba,,,,,-, Maracanã,1,1,RJ,PR,2003,3,Sunday,Empate,0,2,True,False,Poucos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
4,1,2003-03-30,16:00,Goias,Paysandu,,,,,-, Serra Dourada,2,2,GO,PA,2003,3,Sunday,Empate,0,4,True,False,Muitos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
5,1,2003-03-30,16:00,Internacional,Ponte Preta,,,,,-, Beira Rio,1,1,RS,SP,2003,3,Sunday,Empate,0,2,True,False,Poucos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
6,1,2003-03-30,16:00,Criciuma,Fluminense,,,,,Criciuma, Heriberto Hulse,2,0,SC,RJ,2003,3,Sunday,Vitória Mandante,2,2,False,False,Poucos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
7,1,2003-03-30,16:00,Juventude,Sao Paulo,,,,,-, Alfredo Jaconi,2,2,RS,SP,2003,3,Sunday,Empate,0,4,True,False,Muitos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
8,1,2003-03-30,16:00,Fortaleza,Bahia,,,,,-, Castelão,0,0,CE,BA,2003,3,Sunday,Empate,0,0,True,False,Sem gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
9,1,2003-03-30,16:00,Cruzeiro,Sao Caetano,,,,,-, Mineirão,2,2,MG,SP,2003,3,Sunday,Empate,0,4,True,False,Muitos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
10,1,2003-03-30,16:00,Vitoria,Figueirense,,,,,-, Barradão,1,1,BA,SC,2003,3,Sunday,Empate,0,2,True,False,Poucos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
11,1,2003-03-30,18:00,Santos,Parana,,,,,-, Vila Belmiro,2,2,SP,PR,2003,3,Sunday,Empate,0,4,True,False,Muitos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
12,1,2003-03-30,18:00,Corinthians,Atletico-MG,,,,,Atletico-MG, Pacaembu,0,3,SP,MG,2003,3,Sunday,Vitória Visitante,3,3,False,True,Muitos gols,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0
